codigo_venda,data,total
199252,"2018-10-01 20:32:20",56.36
199254,"2018-10-01 20:32:29",112.72
199365,"2018-10-01 20:50:13",62.04
199389,"2018-10-01 20:53:50",54.79
199411,"2018-10-01 20:58:02",101.25
199463,"2018-10-01 21:04:56",114.21
199623,"2018-10-01 21:33:28",44.89
199719,"2018-10-01 21:50:36",223.76
199730,"2018-10-01 21:53:35",56.36
199734,"2018-10-01 21:54:31",62.04
199880,"2018-10-01 22:26:45",215.38
199908,"2018-10-01 22:33:13",62.04
199939,"2018-10-01 22:39:10",44.89
199968,"2018-10-01 22:43:36",54.79
199972,"2018-10-01 22:44:24",44.89
199980,"2018-10-01 22:45:40",54.79
200000,"2018-10-01 22:50:29",56.36
200086,"2018-10-01 23:09:01",62.04
200123,"2018-10-01 23:18:50",62.04
200191,"2018-10-01 23:38:12",101.25
200259,"2018-10-02 00:07:32",62.04
200291,"2018-10-02 00:17:32",57.85
200326,"2018-10-02 00:33:19",57.85
200346,"2018-10-02 00:41:48",119.89
200353,"2018-10-02 00:44:37",116.83
200530,"2018-10-02 06:09:24",116.83
200533,"2018-10-02 06:10:37",112.72
200536,"2018-10-02 06:12:10",54.79
200607,"2018-10-02 07:12:52",115.7
200641,"2018-10-02 07:35:49",112.64
200697,"2018-10-02 07:59:14",118.4
200729,"2018-10-02 08:09:12",44.89
200741,"2018-10-02 08:11:06",54.79
200775,"2018-10-02 08:24:25",44.89
200801,"2018-10-02 08:29:01",57.85
200833,"2018-10-02 08:37:26",44.89
200886,"2018-10-02 08:52:56",99.68
200890,"2018-10-02 08:53:22",114.21
200910,"2018-10-02 08:57:15",56.36
200911,"2018-10-02 08:57:37",56.36
200998,"2018-10-02 09:14:18",44.89
201006,"2018-10-02 09:15:14",102.74
201020,"2018-10-02 09:18:01",54.79
201061,"2018-10-02 09:25:16",285.83
201065,"2018-10-02 09:26:03",62.04
201073,"2018-10-02 09:26:53",57.85
201108,"2018-10-02 09:32:24",101.25
201137,"2018-10-02 09:37:15",57.85
201153,"2018-10-02 09:40:59",62.04
201165,"2018-10-02 09:43:50",62.04
201194,"2018-10-02 09:50:27",116.83
201199,"2018-10-02 09:52:12",57.85
201282,"2018-10-02 10:05:52",56.36
201320,"2018-10-02 10:13:53",56.36
201347,"2018-10-02 10:17:58",62.04
201366,"2018-10-02 10:20:32",118.4
201375,"2018-10-02 10:21:18",62.04
201404,"2018-10-02 10:27:45",54.79
201590,"2018-10-02 10:54:52",102.74
201609,"2018-10-02 10:57:38",56.36
201694,"2018-10-02 11:13:54",54.79
201768,"2018-10-02 11:24:57",238.29
201774,"2018-10-02 11:26:08",56.36
201815,"2018-10-02 11:31:32",54.79
201817,"2018-10-02 11:31:39",54.79
201818,"2018-10-02 11:31:48",109.58
201822,"2018-10-02 11:32:18",89.78
201849,"2018-10-02 11:36:44",57.85
201879,"2018-10-02 11:41:37",56.36
201894,"2018-10-02 11:43:43",44.89
201916,"2018-10-02 11:48:03",54.79
201952,"2018-10-02 11:52:40",56.36
201961,"2018-10-02 11:53:40",62.04
201976,"2018-10-02 11:54:45",54.79
202034,"2018-10-02 12:02:04",54.79
202079,"2018-10-02 12:09:48",57.85
202120,"2018-10-02 12:16:18",54.79
202121,"2018-10-02 12:16:29",420.5
202133,"2018-10-02 12:17:51",112.72
202145,"2018-10-02 12:19:39",54.79
202146,"2018-10-02 12:19:53",57.85
202181,"2018-10-02 12:25:52",57.85
202233,"2018-10-02 12:33:50",44.89
202274,"2018-10-02 12:40:24",56.36
202297,"2018-10-02 12:44:21",44.89
202346,"2018-10-02 12:49:47",57.85
202379,"2018-10-02 12:55:06",118.4
202417,"2018-10-02 13:00:59",62.04
202499,"2018-10-02 13:13:09",111.15
202501,"2018-10-02 13:13:14",57.85
202533,"2018-10-02 13:17:30",57.85
202579,"2018-10-02 13:23:20",62.04
202622,"2018-10-02 13:27:56",57.85
202670,"2018-10-02 13:33:46",118.4
202787,"2018-10-02 13:51:38",174.68
202926,"2018-10-02 14:12:31",57.85
203008,"2018-10-02 14:25:39",57.85
203058,"2018-10-02 14:33:15",57.85
203110,"2018-10-02 14:40:44",106.93
203114,"2018-10-02 14:41:28",102.74
203130,"2018-10-02 14:43:01",62.04
203141,"2018-10-02 14:44:40",56.36
203210,"2018-10-02 14:53:38",57.85
203229,"2018-10-02 14:57:17",54.79
203233,"2018-10-02 14:58:12",62.04
203255,"2018-10-02 15:02:15",54.79
203366,"2018-10-02 15:21:51",99.68
203373,"2018-10-02 15:23:33",62.04
203379,"2018-10-02 15:25:47",54.79
203639,"2018-10-02 16:11:01",62.04
203669,"2018-10-02 16:15:04",62.04
203773,"2018-10-02 16:34:22",106.93
204117,"2018-10-02 17:32:49",116.83
204447,"2018-10-02 18:31:41",118.4
204522,"2018-10-02 18:45:01",57.85
204786,"2018-10-02 19:23:11",54.79
204790,"2018-10-02 19:23:40",57.85
204794,"2018-10-02 19:24:03",208.18
204807,"2018-10-02 19:25:40",54.79
204810,"2018-10-02 19:26:31",56.36
204816,"2018-10-02 19:27:33",56.36
204820,"2018-10-02 19:28:10",106.93
204819,"2018-10-02 19:28:10",62.04
204852,"2018-10-02 19:31:33",112.72
204858,"2018-10-02 19:33:25",114.21
204873,"2018-10-02 19:35:49",112.64
204877,"2018-10-02 19:36:16",124.08
204881,"2018-10-02 19:36:57",44.89
204902,"2018-10-02 19:39:50",116.83
204914,"2018-10-02 19:41:02",54.79
204933,"2018-10-02 19:42:29",56.36
204948,"2018-10-02 19:44:36",101.25
204973,"2018-10-02 19:46:53",44.89
205008,"2018-10-02 19:52:39",62.04
205059,"2018-10-02 19:59:05",56.36
205062,"2018-10-02 19:59:32",102.74
205066,"2018-10-02 19:59:59",44.89
205108,"2018-10-02 20:05:14",101.25
205154,"2018-10-02 20:14:22",124.08
205259,"2018-10-02 20:30:08",112.64
205322,"2018-10-02 20:38:35",62.04
205328,"2018-10-02 20:39:31",62.04
205350,"2018-10-02 20:43:11",119.89
205388,"2018-10-02 20:49:03",119.89
205394,"2018-10-02 20:50:47",44.89
