codigo_venda,data,total
6942,"2018-09-02 11:22:41",115.7
7019,"2018-09-02 11:32:24",118.4
7083,"2018-09-02 11:41:17",62.04
7104,"2018-09-02 11:44:01",114.21
7167,"2018-09-02 11:51:24",54.79
7191,"2018-09-02 11:54:17",57.85
7240,"2018-09-02 11:59:17",54.79
7328,"2018-09-02 12:10:13",62.04
7411,"2018-09-02 12:19:41",56.36
7412,"2018-09-02 12:19:52",62.04
7439,"2018-09-02 12:23:04",56.36
7544,"2018-09-02 12:36:08",57.85
7649,"2018-09-02 12:49:25",119.89
7774,"2018-09-02 13:01:37",56.36
7805,"2018-09-02 13:04:57",54.79
7819,"2018-09-02 13:06:47",62.04
7829,"2018-09-02 13:08:09",62.04
7837,"2018-09-02 13:08:49",118.4
7843,"2018-09-02 13:09:20",54.79
7863,"2018-09-02 13:11:57",56.36
7887,"2018-09-02 13:15:24",56.36
7890,"2018-09-02 13:16:14",54.79
7948,"2018-09-02 13:25:30",56.36
7956,"2018-09-02 13:26:29",56.36
7974,"2018-09-02 13:29:29",44.89
7975,"2018-09-02 13:29:43",62.04
8098,"2018-09-02 13:44:09",62.04
8099,"2018-09-02 13:44:16",44.89
8144,"2018-09-02 13:50:06",111.15
8155,"2018-09-02 13:51:15",44.89
8321,"2018-09-02 14:14:59",62.04
8324,"2018-09-02 14:15:33",111.15
8325,"2018-09-02 14:15:38",44.89
8334,"2018-09-02 14:17:35",44.89
8373,"2018-09-02 14:24:30",62.04
8380,"2018-09-02 14:25:46",57.85
8412,"2018-09-02 14:29:52",44.89
8571,"2018-09-02 14:46:17",56.36
8590,"2018-09-02 14:49:01",44.89
8609,"2018-09-02 14:50:35",112.64
8628,"2018-09-02 14:53:34",62.04
8688,"2018-09-02 15:02:25",62.04
8743,"2018-09-02 15:09:15",112.64
8761,"2018-09-02 15:12:47",118.4
8816,"2018-09-02 15:20:36",56.36
9038,"2018-09-02 15:55:33",57.85
9107,"2018-09-02 16:04:33",44.89
9133,"2018-09-02 16:07:39",44.89
9152,"2018-09-02 16:10:28",54.79
9214,"2018-09-02 16:18:01",56.36
9217,"2018-09-02 16:18:38",57.85
9271,"2018-09-02 16:25:51",102.74
9297,"2018-09-02 16:28:17",57.85
9342,"2018-09-02 16:34:13",102.74
9405,"2018-09-02 16:46:18",56.36
9420,"2018-09-02 16:48:15",118.4
9543,"2018-09-02 17:03:55",54.79
9550,"2018-09-02 17:04:25",62.04
9563,"2018-09-02 17:06:07",62.04
9591,"2018-09-02 17:09:55",114.21
9636,"2018-09-02 17:14:31",54.79
9657,"2018-09-02 17:16:34",118.4
9682,"2018-09-02 17:18:59",56.36
9690,"2018-09-02 17:20:12",62.04
9701,"2018-09-02 17:21:58",44.89
9862,"2018-09-02 17:54:01",62.04
9878,"2018-09-02 17:56:05",62.04
9926,"2018-09-02 18:03:19",118.4
9994,"2018-09-02 18:12:11",44.89
10003,"2018-09-02 18:13:14",62.04
10021,"2018-09-02 18:15:00",62.04
